+27000000000.0ns POS: x=108, y=123.48, z=0; VEL:0, y=11.44, z=0
+27000000000.0ns POS: x=92, y=194.3, z=0; VEL:0, y=-1.23, z=0
+27991869918.0ns POS: x=92, y=193.08, z=0; VEL:0, y=0, z=0
+28000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+28000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+28000000000.0ns POS: x=108, y=134.92, z=0; VEL:0, y=10.98, z=0
+28000000000.0ns POS: x=92, y=193.08, z=0; VEL:0, y=-1.95, z=0
+29000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+29000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+29000000000.0ns POS: x=108, y=145.9, z=0; VEL:0, y=10.39, z=0
+29000000000.0ns POS: x=92, y=191.13, z=0; VEL:0, y=-2.53, z=0
+30000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+30000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+30000000000.0ns POS: x=108, y=156.29, z=0; VEL:0, y=10.46, z=0
+30000000000.0ns POS: x=92, y=188.6, z=0; VEL:0, y=-3.32, z=0
+31000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+31000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+31000000000.0ns POS: x=108, y=166.75, z=0; VEL:0, y=10.42, z=0
+31000000000.0ns POS: x=92, y=185.28, z=0; VEL:0, y=-4.13, z=0
+32000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+32000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+32000000000.0ns POS: x=108, y=177.17, z=0; VEL:0, y=10.03, z=0
+32000000000.0ns POS: x=92, y=181.15, z=0; VEL:0, y=-4.67, z=0
+33000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+33000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+33000000000.0ns POS: x=108, y=187.2, z=0; VEL:0, y=11, z=0
+33000000000.0ns POS: x=92, y=176.48, z=0; VEL:0, y=-5.45, z=0
+34000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+34000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+34000000000.0ns POS: x=92, y=171.03, z=0; VEL:0, y=-6.31, z=0
+34000909090.0ns POS: x=108, y=198.21, z=0; VEL:0, y=0, z=0
+35000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+35000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+35000000000.0ns POS: x=92, y=164.72, z=0; VEL:0, y=-6.83, z=0
+36000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+36000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+36000000000.0ns POS: x=92, y=157.89, z=0; VEL:0, y=-7.79, z=0
+36998716302.0ns POS: x=92, y=150.11, z=0; VEL:0, y=0, z=0
+37000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+37000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+37000000000.0ns POS: x=92, y=150.11, z=0; VEL:0, y=-8.62, z=0
+38000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+38000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+38000000000.0ns POS: x=92, y=141.49, z=0; VEL:0, y=-9.56, z=0
+39000000000.0ns POS: x=92, y=131.93, z=0; VEL:0, y=0, z=0
+39000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+39000000000.0ns POS: x=85.39, y=92, z=0; VEL:0, y=0, z=0
+39000000000.0ns POS: x=92, y=131.93, z=0; VEL:0, y=-10.33, z=0
+40000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+40000000000.0ns POS: x=85.39, y=92, z=0; VEL:2.82, y=0, z=0
+40000000000.0ns POS: x=92, y=121.6, z=0; VEL:0, y=-5.77, z=0
+41000000000.0ns POS: x=88.21, y=92, z=0; VEL:0, y=0, z=0
+41000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+41000000000.0ns POS: x=88.21, y=92, z=0; VEL:6.64, y=0, z=0
+41000000000.0ns POS: x=92, y=115.83, z=0; VEL:0, y=-0.77, z=0
