node_ID	Position	Time
3	485:490:0	30
3	481:490:0	30
3	482:489:0	30
4	550:511:0	30
4	548:511:0	30
4	550:511:0	30
5	527:509:0	30
5	526:511:0	30
7	497:488:0	30
8	503:488:0	30
5	523:510:0	30
6	475:488:0	30
6	475:488:0	30
5	523:511:0	30
6	475:488:0	30
3	485:488:0	30
5	528:511:0	30
7	487:489:0	30
3	483:490:0	30
6	475:490:0	30
6	475:490:0	30
3	484:490:0	31
5	522:510:0	31
7	504:488:0	31
7	502:488:0	31
7	501:488:0	31
7	501:489:0	31
7	498:488:0	31
7	498:488:0	31
8	506:488:0	31
8	504:488:0	31
8	504:488:0	31
8	502:488:0	31
8	501:488:0	31
8	498:488:0	31
8	498:488:0	31
3	484:489:0	31
4	550:510:0	31
5	520:511:0	31
5	522:511:0	31
5	525:511:0	31
9	488:600:0	31
3	486:489:0	31
3	486:488:0	31
4	550:510:0	31
4	550:510:0	31
5	525:510:0	31
5	526:509:0	31
5	529:509:0	31
7	496:488:0	31
8	496:488:0	31
10	488:600:0	31
3	486:490:0	31
4	550:510:0	31
4	550:511:0	31
4	550:511:0	31
6	475:489:0	31
6	475:488:0	31
3	492:488:0	31
4	550:510:0	31
3	481:490:0	32
5	521:510:0	32
7	505:488:0	32
7	503:488:0	32
7	502:488:0	32
7	502:489:0	32
7	495:488:0	32
8	507:488:0	32
8	505:488:0	32
8	503:488:0	32
8	502:488:0	32
8	502:489:0	32
3	483:490:0	32
3	484:489:0	32
3	482:489:0	32
5	519:511:0	32
5	524:510:0	32
5	525:509:0	32
5	526:511:0	32
7	499:488:0	32
8	495:488:0	32
3	486:489:0	32
3	485:490:0	32
4	550:509:0	32
5	521:511:0	32
5	526:510:0	32
8	499:488:0	32
9	488:599:0	32
3	483:488:0	32
9	488:597:0	32
10	488:597:0	32
4	542:510:0	32
9	490:597:0	32
10	490:597:0	32
5	509:488:0	33
7	506:488:0	33
7	498:488:0	33
7	500:488:0	33
8	509:488:0	33
8	506:488:0	33
8	504:488:0	33
8	500:488:0	33
9	488:596:0	33
10	488:596:0	33
3	484:490:0	33
5	518:511:0	33
5	520:511:0	33
5	525:511:0	33
3	486:490:0	33
5	520:510:0	33
5	523:510:0	33
7	503:488:0	33
7	501:488:0	33
8	506:488:0	33
8	501:488:0	33
7	504:488:0	33
9	488:600:0	33
10	488:600:0	33
7	498:488:0	33
3	480:490:0	33
3	488:490:0	34
3	486:489:0	34
7	505:488:0	34
7	497:488:0	34
7	499:488:0	34
7	499:488:0	34
8	507:488:0	34
8	507:488:0	34
8	505:488:0	34
8	504:489:0	34
8	497:488:0	34
8	499:488:0	34
3	485:490:0	34
3	483:490:0	34
3	481:490:0	34
5	519:511:0	34
7	501:488:0	34
9	488:600:0	34
10	488:600:0	34
5	517:511:0	34
5	519:510:0	34
3	488:489:0	34
8	501:488:0	34
9	488:600:0	34
10	488:600:0	34
3	487:489:0	34
3	483:488:0	34
10	489:593:0	34
9	489:593:0	34
7	506:488:0	35
7	502:488:0	35
7	500:488:0	35
8	508:487:0	35
8	506:488:0	35
8	505:488:0	35
9	488:600:0	35
10	488:600:0	35
3	487:489:0	35
5	516:511:0	35
7	498:488:0	35
10	488:600:0	35
13	511:425:0	35
3	486:490:0	35
3	484:490:0	35
5	518:510:0	35
9	488:600:0	35
7	503:488:0	35
3	489:489:0	35
3	487:489:0	35
3	485:489:0	35
9	489:597:0	35
9	488:600:0	35
10	489:597:0	35
10	488:600:0	35
3	480:490:0	35
7	496:488:0	35
9	488:595:0	35
10	488:595:0	35
13	509:427:0	35
7	496:489:0	35
3	489:489:0	36
7	499:488:0	36
7	501:488:0	36
7	501:488:0	36
7	499:488:0	36
8	507:487:0	36
8	506:488:0	36
8	506:489:0	36
8	503:488:0	36
8	499:488:0	36
9	488:598:0	36
10	488:598:0	36
5	515:511:0	36
5	506:488:0	36
5	501:488:0	36
7	504:488:0	36
7	497:488:0	36
9	488:600:0	36
10	488:600:0	36
13	511:425:0	36
3	487:489:0	36
10	489:598:0	36
10	488:600:0	36
8	509:488:0	36
8	501:488:0	36
9	488:590:0	36
10	488:590:0	36
9	488:600:0	36
13	511:425:0	36
5	506:489:0	36
9	489:598:0	36
13	511:425:0	36
3	491:488:0	36
5	499:488:0	36
13	510:429:0	36
13	509:425:0	36
3	493:488:0	36
9	488:596:0	36
10	488:596:0	36
13	511:425:0	36
5	500:488:0	37
7	500:488:0	37
7	502:488:0	37
7	504:488:0	37
7	502:488:0	37
7	498:488:0	37
7	500:488:0	37
8	511:487:0	37
8	508:488:0	37
8	507:488:0	37
8	504:488:0	37
8	502:488:0	37
9	488:595:0	37
9	488:600:0	37
10	488:595:0	37
10	488:600:0	37
13	511:425:0	37
13	511:425:0	37
13	511:425:0	37
5	507:489:0	37
7	498:488:0	37
9	489:597:0	37
9	489:600:0	37
9	488:600:0	37
9	488:600:0	37
9	488:600:0	37
10	489:597:0	37
10	489:600:0	37
10	488:600:0	37
10	488:600:0	37
10	488:600:0	37
13	511:425:0	37
5	502:488:0	37
9	488:597:0	37
10	488:597:0	37
5	502:488:0	37
8	505:488:0	37
5	505:488:0	37
3	502:488:0	37
5	498:488:0	37
13	511:428:0	37
3	498:488:0	37
5	500:488:0	37
9	489:591:0	37
10	489:591:0	37
12	550:509:0	37
13	510:428:0	37
8	500:488:0	37
9	489:595:0	37
10	489:595:0	37
13	510:426:0	37
5	503:488:0	38
5	499:488:0	38
5	497:488:0	38
7	503:488:0	38
7	503:488:0	38
7	499:488:0	38
7	501:488:0	38
8	509:488:0	38
8	499:488:0	38
9	488:600:0	38
10	488:600:0	38
10	488:600:0	38
13	511:431:0	38
13	509:430:0	38
13	509:427:0	38
3	499:488:0	38
5	497:488:0	38
5	499:489:0	38
7	502:488:0	38
8	509:487:0	38
8	506:488:0	38
9	489:593:0	38
9	489:598:0	38
9	488:600:0	38
9	488:600:0	38
10	488:594:0	38
10	489:598:0	38
10	488:600:0	38
12	548:509:0	38
12	550:510:0	38
12	550:510:0	38
12	550:510:0	38
13	510:427:0	38
3	503:488:0	38
8	508:489:0	38
9	488:594:0	38
9	488:600:0	38
10	488:598:0	38
10	488:600:0	38
11	475:490:0	38
12	550:511:0	38
13	510:425:0	38
7	506:488:0	38
8	514:488:0	38
12	550:510:0	38
12	550:510:0	38
13	510:425:0	38
13	510:425:0	38
9	489:596:0	38
9	488:598:0	38
9	490:594:0	38
10	490:594:0	38
12	550:511:0	38
5	500:488:0	39
5	500:488:0	39
5	500:489:0	39
7	502:488:0	39
7	500:488:0	39
7	500:488:0	39
7	502:488:0	39
8	510:488:0	39
8	509:489:0	39
8	507:488:0	39
8	504:488:0	39
9	489:597:0	39
9	489:600:0	39
9	488:600:0	39
9	488:600:0	39
10	489:597:0	39
10	488:597:0	39
10	489:600:0	39
10	489:600:0	39
10	488:600:0	39
10	488:600:0	39
10	488:600:0	39
11	475:489:0	39
12	547:509:0	39
12	550:509:0	39
12	549:511:0	39
12	550:511:0	39
12	550:511:0	39
13	511:450:0	39
13	509:447:0	39
13	509:442:0	39
3	517:511:0	39
9	488:597:0	39
9	489:600:0	39
9	488:600:0	39
11	475:488:0	39
12	550:509:0	39
12	550:509:0	39
12	550:509:0	39
5	504:488:0	39
5	498:488:0	39
7	504:488:0	39
11	475:488:0	39
12	550:509:0	39
3	512:510:0	39
5	502:488:0	39
5	496:488:0	39
7	496:488:0	39
11	475:488:0	39
13	510:448:0	39
5	491:488:0	39
8	510:487:0	39
9	488:599:0	39
10	488:599:0	39
12	550:509:0	39
12	550:509:0	39
3	514:511:0	39
3	514:510:0	39
8	506:488:0	39
13	510:445:0	39
13	511:445:0	39
3	511:511:0	40
3	516:511:0	40
5	503:488:0	40
5	501:488:0	40
5	502:489:0	40
5	497:488:0	40
7	503:488:0	40
7	501:488:0	40
7	501:488:0	40
7	497:488:0	40
7	497:488:0	40
8	513:489:0	40
8	511:488:0	40
8	508:488:0	40
8	507:487:0	40
8	505:488:0	40
9	490:591:0	40
9	489:593:0	40
10	490:589:0	40
10	490:591:0	40
10	489:593:0	40
11	485:489:0	40
11	475:489:0	40
11	475:489:0	40
11	475:488:0	40
12	529:509:0	40
12	533:509:0	40
12	534:510:0	40
3	513:510:0	40
5	497:488:0	40
8	510:488:0	40
9	490:589:0	40
11	478:488:0	40
11	475:489:0	40
11	475:488:0	40
13	511:464:0	40
13	510:458:0	40
3	513:510:0	40
3	517:509:0	40
7	503:488:0	40
11	475:489:0	40
