+6000000000.0ns POS: x=36.64, y=492, z=0; VEL:13.37, y=0, z=0
+6000000000.0ns POS: x=924.29, y=508, z=0; VEL:-20.66, y=0, z=0
+6000000000.0ns POS: x=994.9, y=508, z=0; VEL:-9.36, y=0, z=0
+6000000000.0ns POS: x=508, y=87.6, z=0; VEL:0, y=18.78, z=0
+6000000000.0ns POS: x=492, y=934.84, z=0; VEL:0, y=-11.63, z=0
+6000000000.0ns POS: x=450.17, y=488.8, z=0; VEL:0.18, y=0, z=0
+6000000000.0ns POS: x=450.93, y=488.8, z=0; VEL:0.16, y=0, z=0
+6000000000.0ns POS: x=519.91, y=511.2, z=0; VEL:-0.1, y=0, z=0
+6000000000.0ns POS: x=519.54, y=511.2, z=0; VEL:-0.09, y=0, z=0
+6000000000.0ns POS: x=511.2, y=460.22, z=0; VEL:0, y=0.23, z=0
+6000000000.0ns POS: x=511.2, y=461.15, z=0; VEL:0, y=0.25, z=0
+6000000000.0ns POS: x=488.8, y=524.79, z=0; VEL:0, y=-0.24, z=0
+6000000000.0ns POS: x=488.8, y=523.91, z=0; VEL:0, y=-0.21, z=0
+6999999999.0ns POS: x=519.45, y=511.2, z=0; VEL:0, y=0, z=0
+6999999999.0ns POS: x=511.2, y=460.45, z=0; VEL:0, y=0, z=0
+7000000000.0ns POS: x=12.22, y=492, z=0; VEL:0, y=0, z=0
+7000000000.0ns POS: x=50.01, y=492, z=0; VEL:0, y=0, z=0
+7000000000.0ns POS: x=508, y=106.38, z=0; VEL:0, y=0, z=0
+7000000000.0ns POS: x=492, y=923.21, z=0; VEL:0, y=0, z=0
+7000000000.0ns POS: x=511.2, y=461.4, z=0; VEL:0, y=0, z=0
+7000000000.0ns POS: x=76.3737, y=495.2, z=0; VEL:18.6261, y=3.08566, z=0
+7000000000.0ns POS: x=12.22, y=492, z=0; VEL:8.76, y=0, z=0
+7000000000.0ns POS: x=50.01, y=492, z=0; VEL:15.52, y=0, z=0
+7000000000.0ns POS: x=903.63, y=508, z=0; VEL:-23.03, y=0, z=0
+7000000000.0ns POS: x=985.54, y=508, z=0; VEL:-11.57, y=0, z=0
+7000000000.0ns POS: x=508, y=106.38, z=0; VEL:0, y=18.74, z=0
+7000000000.0ns POS: x=492, y=923.21, z=0; VEL:0, y=-11.98, z=0
+7000000000.0ns POS: x=450.35, y=488.8, z=0; VEL:0.2, y=0, z=0
+7000000000.0ns POS: x=451.09, y=488.8, z=0; VEL:0.16, y=0, z=0
+7000000000.0ns POS: x=519.81, y=511.2, z=0; VEL:-0.09, y=0, z=0
+7000000000.0ns POS: x=519.45, y=511.2, z=0; VEL:-0.09, y=0, z=0
+7000000000.0ns POS: x=511.2, y=460.45, z=0; VEL:0, y=0.24, z=0
+7000000000.0ns POS: x=511.2, y=461.4, z=0; VEL:0, y=0.24, z=0
+7000000000.0ns POS: x=488.8, y=524.55, z=0; VEL:0, y=-0.2, z=0
+7000000000.0ns POS: x=488.8, y=523.7, z=0; VEL:0, y=-0.23, z=0
+7999999999.0ns POS: x=973.97, y=508, z=0; VEL:0, y=0, z=0
+7999999999.0ns POS: x=519.72, y=511.2, z=0; VEL:0, y=0, z=0
+7999999999.0ns POS: x=488.8, y=524.35, z=0; VEL:0, y=0, z=0
+8000000000.0ns POS: x=20.98, y=492, z=0; VEL:0, y=0, z=0
+8000000000.0ns POS: x=65.53, y=492, z=0; VEL:0, y=0, z=0
+8000000000.0ns POS: x=508, y=125.12, z=0; VEL:0, y=0, z=0
+8000000000.0ns POS: x=94.9998, y=498.286, z=0; VEL:20.6097, y=0.110686, z=0
+8000000000.0ns POS: x=20.98, y=492, z=0; VEL:10.6967, y=3.07541, z=0
+8000000000.0ns POS: x=65.53, y=492, z=0; VEL:16.83, y=0, z=0
+8000000000.0ns POS: x=880.6, y=508, z=0; VEL:-24.01, y=0, z=0
+8000000000.0ns POS: x=973.97, y=508, z=0; VEL:-13.77, y=0, z=0
+8000000000.0ns POS: x=508, y=125.12, z=0; VEL:0, y=18.48, z=0
+8000000000.0ns POS: x=508, y=5.1, z=0; VEL:0, y=12.15, z=0
+8000000000.0ns POS: x=492, y=911.23, z=0; VEL:0, y=-11.87, z=0
+8000000000.0ns POS: x=450, y=488.8, z=0; VEL:0, y=0, z=0
+8000000000.0ns POS: x=450.55, y=488.8, z=0; VEL:0.19, y=0, z=0
+8000000000.0ns POS: x=451.25, y=488.8, z=0; VEL:0.19, y=0, z=0
+8000000000.0ns POS: x=520, y=511.2, z=0; VEL:0, y=0, z=0
+8000000000.0ns POS: x=519.72, y=511.2, z=0; VEL:-0.09, y=0, z=0
+8000000000.0ns POS: x=519.36, y=511.2, z=0; VEL:-0.1, y=0, z=0
+8000000000.0ns POS: x=511.2, y=460, z=0; VEL:0, y=0, z=0
+8000000000.0ns POS: x=511.2, y=460.69, z=0; VEL:0, y=0.21, z=0
+8000000000.0ns POS: x=511.2, y=461.64, z=0; VEL:0, y=0.24, z=0
+8000000000.0ns POS: x=488.8, y=525, z=0; VEL:0, y=0, z=0
+8000000000.0ns POS: x=488.8, y=524.35, z=0; VEL:0, y=-0.22, z=0
+8000000000.0ns POS: x=488.8, y=523.47, z=0; VEL:0, y=-0.25, z=0
+8999999999.0ns POS: x=960.2, y=508, z=0; VEL:0, y=0, z=0
+8999999999.0ns POS: x=488.8, y=523.22, z=0; VEL:0, y=0, z=0
+9000000000.0ns POS: x=508, y=17.25, z=0; VEL:0, y=0, z=0
+9000000000.0ns POS: x=492, y=899.36, z=0; VEL:0, y=0, z=0
+9000000000.0ns POS: x=115.61, y=498.396, z=0; VEL:22.11, y=0.00354556, z=0
+9000000000.0ns POS: x=31.6767, y=495.075, z=0; VEL:13.3395, y=0.120575, z=0
+9000000000.0ns POS: x=82.36, y=492, z=0; VEL:18.81, y=0, z=0
+9000000000.0ns POS: x=856.59, y=508, z=0; VEL:-24, y=0, z=0
+9000000000.0ns POS: x=960.2, y=508, z=0; VEL:-15.27, y=0, z=0
+9000000000.0ns POS: x=508, y=143.6, z=0; VEL:0, y=18.84, z=0
+9000000000.0ns POS: x=508, y=17.25, z=0; VEL:0, y=14.04, z=0
+9000000000.0ns POS: x=492, y=899.36, z=0; VEL:0, y=-12.17, z=0
+9000000000.0ns POS: x=492, y=994.9, z=0; VEL:0, y=-11.88, z=0
+9000000000.0ns POS: x=450, y=488.8, z=0; VEL:0.17, y=0, z=0
+9000000000.0ns POS: x=450.74, y=488.8, z=0; VEL:0.18, y=0, z=0
+9000000000.0ns POS: x=451.44, y=488.8, z=0; VEL:0.17, y=0, z=0
