Duration,Total_Number_Of_Vehicle,Total_Risky_Deceleration_Count,Total_Number_Of_Risky_Decelerated_Car
10.0,8,0,0
20.0,8,0,0
30.0,12,1,1
40.0,12,2,2
50.0,20,2,2
60.0,20,2,2
70.0,24,2,2
80.0,24,2,2
90.0,32,2,2
100.0,32,2,2
110.0,36,2,2
120.0,36,3,3
130.0,44,4,4
140.0,44,4,4
150.0,48,4,4
160.0,48,4,4
170.0,56,4,4
180.0,56,4,4
190.0,60,6,5
200.0,60,6,5
210.0,60,6,5
220.0,60,6,5
230.0,60,6,5
240.0,60,6,5
250.0,60,6,5
260.0,60,6,5
270.0,60,6,5
280.0,60,6,5
290.0,60,6,5
300.0,60,6,5
310.0,60,6,5
