Duration,Total_Number_Of_Vehicle,Total_Risky_Deceleration_Count,Total_Number_Of_Risky_Decelerated_Car
10.0,8,0,0
20.0,8,0,0
30.0,12,1,1
40.0,12,2,2
50.0,20,2,2
60.0,20,2,2
70.0,24,3,3
80.0,24,3,3
90.0,32,3,3
100.0,32,3,3
110.0,36,3,3
120.0,36,3,3
130.0,44,4,4
140.0,44,4,4
150.0,48,5,5
160.0,48,6,5
170.0,56,6,5
180.0,56,7,6
190.0,60,8,7
200.0,60,8,7
210.0,60,10,9
220.0,60,11,10
230.0,60,11,10
240.0,60,11,10
250.0,60,11,10
260.0,60,11,10
270.0,60,11,10
280.0,60,11,10
290.0,60,11,10
300.0,60,11,10
310.0,60,11,10
