Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
10.7289	f1.0	3	1	FullDelay	0.243663	243663	1	2
11.2889	f1.0	3	2	FullDelay	0.245225	245225	1	2
11.5689	f2.0	4	1	FullDelay	0.22672	226720	1	2
14.2489	f6.0	8	1	FullDelay	0.23396	233960	1	2
14.7289	f5.0	7	3	FullDelay	0.216675	216675	1	2
14.8889	f2.0	4	4	FullDelay	0.226605	226605	1	2
15.0889	f1.0	3	5	FullDelay	0.302144	302144	1	2
15.3689	f6.0	8	2	FullDelay	0.219359	219359	1	2
15.5689	f5.0	7	4	FullDelay	0.336707	336707	1	2
20.4889	f7.0	9	2	FullDelay	0.236853	236853	1	2
20.6889	f8.0	10	1	FullDelay	0.257072	257072	1	2
21.4089	f7.0	9	3	FullDelay	0.22853	228530	1	2
21.7289	f8.0	10	2	FullDelay	0.231427	231427	1	2
22.6489	f2.0	4	11	FullDelay	0.217869	217869	1	2
22.8489	f1.0	3	12	FullDelay	0.250172	250172	1	2
23.3289	f8.0	10	4	FullDelay	0.227017	227017	1	2
23.7689	f7.0	9	5	FullDelay	0.228391	228391	1	2
24.0489	f2.0	4	12	FullDelay	0.672181	672181	1	3
24.5289	f2.0	4	13	FullDelay	0.318292	318292	1	2
24.9689	f6.0	8	10	FullDelay	0.218392	218392	1	2
25.7289	f3.0	5	10	FullDelay	0.655377	655377	1	4
26.6089	f3.0	5	11	FullDelay	0.256224	256224	1	2
27.5289	f3.0	5	12	FullDelay	0.288832	288832	1	2
27.8329	f8.0	10	8	FullDelay	0.273877	273877	1	2
28.5689	f3.0	5	13	FullDelay	0.251508	251508	1	2
30.5689	f7.0	9	11	FullDelay	0.218467	218467	1	2
30.7689	f8.0	10	11	FullDelay	0.295542	295542	1	2
32.4489	f8.0	10	13	FullDelay	0.22747	227470	1	2
32.6489	f7.0	9	13	FullDelay	0.27562	275620	1	2
33.7289	f7.0	9	14	FullDelay	0.588327	588327	1	3
34.7289	f7.0	9	15	FullDelay	0.456203	456203	1	3
34.9289	f8.0	10	15	FullDelay	0.594729	594729	1	2
35.3689	f8.0	10	16	FullDelay	0.233749	233749	1	2
35.6089	f7.0	9	16	FullDelay	0.220465	220465	1	2
38.2089	f8.0	10	18	FullDelay	0.631901	631901	1	2
38.4489	f8.1	14	3	FullDelay	0.72364	723640	1	2
43.2889	f8.1	14	7	FullDelay	0.217691	217691	1	2
43.6969	f6.1	13	9	FullDelay	0.253467	253467	1	2
48.0889	f6.1	13	13	FullDelay	0.232339	232339	1	2
48.7689	f7.0	9	27	FullDelay	0.529519	529519	1	2
49.4489	f7.0	9	28	FullDelay	0.225183	225183	1	2
56.1289	f6.2	20	4	FullDelay	0.214143	214143	1	2
59.9449	f3.1	17	7	FullDelay	0.653983	653983	1	3
61.1289	f3.1	17	8	FullDelay	0.714927	714927	1	3
62.8169	f6.2	20	10	FullDelay	0.615	615000	1	2
62.9849	f4.2	18	9	FullDelay	0.26762	267620	1	2
63.6889	f6.2	20	11	FullDelay	0.2336	233600	1	2
64.2089	f3.1	17	10	FullDelay	0.587261	587261	1	4
64.9289	f4.2	18	11	FullDelay	0.790019	790019	1	3
65.3689	f4.2	18	12	FullDelay	0.260714	260714	1	2
66.5369	f4.2	18	13	FullDelay	0.228738	228738	1	2
67.2089	f2.2	16	12	FullDelay	0.716628	716628	1	3
68.6089	f4.2	18	15	FullDelay	0.412605	412605	1	2
68.8889	f1.1	15	13	FullDelay	0.465812	465812	1	2
71.4569	f7.1	21	13	FullDelay	0.24087	240870	1	2
72.1689	f7.1	21	14	FullDelay	0.683699	683699	1	2
72.4489	f7.1	21	15	FullDelay	0.265604	265604	1	2
72.7689	f8.2	22	11	FullDelay	0.722413	722413	1	3
73.3289	f7.1	21	16	FullDelay	0.286166	286166	1	2
73.7849	f8.2	22	12	FullDelay	0.331957	331957	1	2
74.7769	f8.2	22	13	FullDelay	0.588741	588741	1	2
75.4969	f8.2	22	14	FullDelay	0.405318	405318	1	2
76.0089	f7.1	21	18	FullDelay	0.695381	695381	1	3
76.4969	f8.2	22	15	FullDelay	0.224457	224457	1	2
77.4569	f8.2	22	16	FullDelay	0.232874	232874	1	2
77.9689	f7.1	21	20	FullDelay	0.621223	621223	1	2
78.5369	f8.2	22	17	FullDelay	0.232669	232669	1	2
79.4489	f8.3	26	2	FullDelay	0.749916	749916	1	3
79.8489	f8.2	22	18	FullDelay	0.788416	788416	1	3
80.2649	f8.3	26	3	FullDelay	0.765968	765968	1	3
80.8489	f8.2	22	19	FullDelay	0.710459	710459	1	3
81.7049	f8.3	26	4	FullDelay	0.680666	680666	1	3
82.0889	f4.3	24	11	FullDelay	0.25706	257060	1	2
82.7289	f4.3	24	12	FullDelay	0.240643	240643	1	2
83.8089	f4.3	24	13	FullDelay	0.504005	504005	1	2
84.2489	f4.3	24	14	FullDelay	0.244939	244939	1	2
85.4969	f8.3	26	7	FullDelay	0.603165	603165	1	3
86.1289	f8.2	22	24	FullDelay	0.507919	507919	1	2
86.8089	f2.3	23	13	FullDelay	0.61552	615520	1	2
88.0969	f8.3	26	9	FullDelay	0.629287	629287	1	3
88.4489	f8.2	22	26	FullDelay	0.229614	229614	1	2
88.5849	f8.3	26	10	FullDelay	0.352916	352916	1	2
89.4649	f8.3	26	11	FullDelay	0.390452	390452	1	2
89.9689	f8.2	22	27	FullDelay	0.62963	629630	1	3
90.6649	f8.3	26	12	FullDelay	0.332529	332529	1	2
91.5769	f8.3	26	13	FullDelay	0.257373	257373	1	2
92.4569	f8.3	26	14	FullDelay	0.235641	235641	1	2
93.5769	f8.3	26	15	FullDelay	0.237671	237671	1	2
94.3289	f2.4	28	3	FullDelay	0.655375	655375	1	3
95.0889	f1.2	27	4	FullDelay	0.250746	250746	1	2
95.2969	f3.2	29	3	FullDelay	0.567582	567582	1	3
95.5289	f2.4	28	4	FullDelay	0.215297	215297	1	2
96.3289	f8.3	26	17	FullDelay	0.748438	748438	1	3
96.6089	f8.3	26	18	FullDelay	0.265296	265296	1	2
97.0489	f3.2	29	5	FullDelay	0.613906	613906	1	3
