Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
119.945	f4.5	36	8	FullDelay	0.71816	718160	1	3
121.937	f4.5	36	10	FullDelay	0.530937	530937	1	2
123.449	f4.5	36	12	FullDelay	0.405963	405963	1	2
124.609	f4.5	36	13	FullDelay	0.224826	224826	1	2
125.169	f6.5	37	12	FullDelay	0.229703	229703	1	2
126.809	f4.5	36	15	FullDelay	0.283894	283894	1	2
129.929	f7.2	33	25	FullDelay	0.244715	244715	1	2
135.729	f4.6	42	5	FullDelay	0.230916	230916	1	2
135.929	f3.3	41	4	FullDelay	0.335577	335577	1	2
136.249	f4.6	42	6	FullDelay	0.243831	243831	1	2
136.689	f3.3	41	5	FullDelay	0.248774	248774	1	2
137.329	f4.6	42	7	FullDelay	0.239314	239314	1	2
137.529	f3.3	41	6	FullDelay	0.204858	204858	1	2
138.289	f3.3	41	7	FullDelay	0.24253	242530	1	2
138.553	f2.6	40	6	FullDelay	0.2748	274800	1	2
139.025	f4.6	42	8	FullDelay	0.716865	716865	1	2
139.289	f2.6	40	7	FullDelay	0.21346	213460	1	2
139.505	f3.3	41	8	FullDelay	0.259141	259141	1	2
139.849	f1.3	39	8	FullDelay	0.408862	408862	1	3
140.369	f3.3	41	9	FullDelay	0.275322	275322	1	2
140.809	f4.6	42	10	FullDelay	0.312583	312583	1	2
141.609	f2.6	40	9	FullDelay	0.267237	267237	1	2
141.689	f3.3	41	10	FullDelay	0.273338	273338	1	2
141.849	f4.6	42	11	FullDelay	0.56138	561380	1	2
142.297	f5.3	43	9	FullDelay	0.496761	496761	1	2
142.609	f3.3	41	11	FullDelay	0.253382	253382	1	2
142.849	f2.6	40	10	FullDelay	0.768894	768894	1	3
143.113	f1.3	39	11	FullDelay	0.460141	460141	1	2
143.369	f3.3	41	12	FullDelay	0.293786	293786	1	2
143.689	f4.6	42	13	FullDelay	0.253531	253531	1	2
144.689	f2.6	40	12	FullDelay	0.258931	258931	1	2
144.809	f3.3	41	13	FullDelay	0.396618	396618	1	2
145.689	f2.6	40	13	FullDelay	0.519557	519557	1	2
145.769	f3.3	41	14	FullDelay	0.76121	761210	1	2
146.369	f4.6	42	15	FullDelay	0.885628	885628	1	3
146.649	f1.3	39	13	FullDelay	0.961854	961854	1	3
147.833	f7.3	45	10	FullDelay	0.24685	246850	1	2
148.665	f7.3	45	11	FullDelay	0.336022	336022	1	2
149.817	f7.3	45	12	FullDelay	0.472518	472518	1	3
150.497	f7.3	45	13	FullDelay	0.297024	297024	1	2
151.417	f7.3	45	14	FullDelay	0.225622	225622	1	2
152.065	f8.6	46	11	FullDelay	0.74975	749750	1	2
152.777	f8.6	46	12	FullDelay	0.328518	328518	1	2
153.457	f8.6	46	13	FullDelay	0.257575	257575	1	2
154.009	f7.3	45	16	FullDelay	0.539655	539655	1	2
154.729	f7.3	45	17	FullDelay	0.41937	419370	1	3
155.169	f8.6	46	14	FullDelay	0.792156	792156	1	4
155.569	f7.3	45	18	FullDelay	0.237371	237371	1	2
156.289	f8.6	46	15	FullDelay	0.218139	218139	1	2
156.649	f7.3	45	19	FullDelay	0.290309	290309	1	2
158.049	f7.3	45	20	FullDelay	0.701476	701476	1	2
158.409	f7.3	45	21	FullDelay	0.212851	212851	1	2
158.769	f8.6	46	17	FullDelay	0.557194	557194	1	2
159.409	f7.3	45	22	FullDelay	0.230444	230444	1	2
159.737	f2.7	47	8	FullDelay	0.269215	269215	1	2
160.417	f2.7	47	9	FullDelay	0.33293	332930	1	2
160.809	f7.3	45	23	FullDelay	0.576026	576026	1	2
161.257	f8.6	46	19	FullDelay	0.854351	854351	1	4
161.769	f2.7	47	10	FullDelay	0.391742	391742	1	2
161.969	f4.7	48	10	FullDelay	0.481151	481151	1	2
162.489	f8.6	46	20	FullDelay	0.301124	301124	1	2
163.049	f7.3	45	25	FullDelay	0.42216	422160	1	2
163.649	f8.6	46	21	FullDelay	0.602465	602465	1	2
163.809	f2.7	47	12	FullDelay	0.266105	266105	1	2
164.809	f2.7	47	13	FullDelay	0.612287	612287	1	3
164.889	f8.6	46	22	FullDelay	0.560084	560084	1	2
165.169	f4.7	48	13	FullDelay	0.468922	468922	1	2
165.449	f4.7	48	14	FullDelay	0.236662	236662	1	2
166.889	f8.6	46	24	FullDelay	0.574858	574858	1	3
172.465	f8.7	50	10	FullDelay	0.638314	638314	1	3
173.553	f8.7	50	11	FullDelay	0.257518	257518	1	2
174.345	f8.7	50	12	FullDelay	0.315265	315265	1	2
174.529	f4.8	54	2	FullDelay	0.223297	223297	1	2
174.769	f3.4	53	2	FullDelay	0.228049	228049	1	2
175.489	f4.8	54	3	FullDelay	0.280827	280827	1	2
175.577	f8.7	50	13	FullDelay	0.413128	413128	1	2
175.689	f3.4	53	3	FullDelay	0.295421	295421	1	2
177.009	f4.8	54	4	FullDelay	0.543201	543201	1	2
177.465	f8.7	50	15	FullDelay	0.326855	326855	1	2
