Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
10.2489	f1.0	3	1	FullDelay	0.227876	227876	1	2
14.4089	f6.0	8	1	FullDelay	0.251837	251837	1	2
14.6889	f2.0	4	4	FullDelay	0.245788	245788	1	2
15.0489	f1.0	3	5	FullDelay	0.213755	213755	1	2
15.0889	f5.0	7	3	FullDelay	0.248542	248542	1	2
15.2489	f2.0	4	5	FullDelay	0.205339	205339	1	2
15.4089	f5.0	7	4	FullDelay	0.248426	248426	1	2
15.4489	f1.0	3	6	FullDelay	0.288151	288151	1	2
15.6089	f6.0	8	2	FullDelay	0.23946	239460	1	2
17.4889	f6.0	8	4	FullDelay	0.224553	224553	1	2
17.6889	f5.0	7	6	FullDelay	0.238567	238567	1	2
20.2889	f8.0	10	1	FullDelay	0.242237	242237	1	2
20.4889	f7.0	9	2	FullDelay	0.261708	261708	1	2
21.2889	f8.0	10	2	FullDelay	0.226098	226098	1	2
21.6089	f7.0	9	3	FullDelay	0.234945	234945	1	2
22.4489	f1.0	3	12	FullDelay	0.526831	526831	1	2
22.8889	f3.0	5	8	FullDelay	0.611699	611699	1	3
23.2889	f2.0	4	12	FullDelay	0.245144	245144	1	2
23.9849	f4.0	6	11	FullDelay	0.867885	867885	1	3
24.1289	f1.0	3	13	FullDelay	0.774541	774541	1	3
25.9689	f4.0	6	13	FullDelay	0.459057	459057	1	2
28.1289	f5.0	7	15	FullDelay	0.493761	493761	1	2
28.3289	f3.0	5	13	FullDelay	0.358453	358453	1	2
28.5129	f7.0	9	9	FullDelay	0.421965	421965	1	3
34.2089	f8.0	10	13	FullDelay	0.248802	248802	1	2
38.0089	f7.0	9	17	FullDelay	0.258666	258666	1	2
38.2089	f8.0	10	17	FullDelay	0.326372	326372	1	2
38.4489	f7.0	9	18	FullDelay	0.234655	234655	1	2
38.6489	f8.0	10	18	FullDelay	0.267252	267252	1	2
39.5369	f8.0	10	19	FullDelay	0.404526	404526	1	3
39.6889	f7.0	9	19	FullDelay	0.22874	228740	1	2
43.7369	f6.1	13	9	FullDelay	0.262421	262421	1	2
45.3289	f7.0	9	24	FullDelay	0.288918	288918	1	2
48.4889	f7.0	9	27	FullDelay	0.220194	220194	1	2
49.5689	f7.0	9	28	FullDelay	0.277163	277163	1	2
52.4889	f6.2	20	1	FullDelay	0.243891	243891	1	2
52.7689	f5.1	19	2	FullDelay	0.243252	243252	1	2
60.0649	f3.1	17	7	FullDelay	0.704598	704598	1	3
61.0729	f3.1	17	8	FullDelay	0.596264	596264	1	2
62.0489	f6.2	20	9	FullDelay	0.682283	682283	1	3
62.4969	f6.2	20	10	FullDelay	0.394923	394923	1	2
63.5369	f4.2	18	9	FullDelay	0.657147	657147	1	2
64.3369	f1.1	15	9	FullDelay	0.658666	658666	1	3
64.8489	f6.2	20	12	FullDelay	0.413132	413132	1	2
65.8089	f6.2	20	13	FullDelay	0.545593	545593	1	3
67.0889	f1.1	15	12	FullDelay	0.251937	251937	1	2
67.7289	f1.1	15	13	FullDelay	0.277581	277581	1	2
68.4089	f4.2	18	13	FullDelay	0.810016	810016	1	2
91.4489	f2.4	28	1	FullDelay	0.220411	220411	1	2
91.6489	f1.2	27	1	FullDelay	0.279531	279531	1	2
92.5689	f3.2	29	1	FullDelay	0.299938	299938	1	2
92.7289	f2.4	28	2	FullDelay	0.408305	408305	1	3
95.6489	f3.2	29	4	FullDelay	0.239561	239561	1	2
95.8489	f4.4	30	2	FullDelay	0.33031	330310	1	2
97.4489	f4.4	30	4	FullDelay	0.233359	233359	1	2
98.0089	f3.2	29	6	FullDelay	0.530927	530927	1	2
98.2889	f3.2	29	7	FullDelay	0.264246	264246	1	2
98.4889	f4.4	30	5	FullDelay	0.295142	295142	1	2
98.4889	f1.2	27	7	FullDelay	0.4098	409800	1	3
99.6089	f1.2	27	8	FullDelay	0.288522	288522	1	2
100.609	f3.2	29	9	FullDelay	0.246878	246878	1	2
100.889	f4.4	30	7	FullDelay	0.231635	231635	1	2
101.217	f6.4	32	9	FullDelay	0.785365	785365	1	3
101.625	f6.4	32	10	FullDelay	0.24415	244150	1	2
103.857	f3.2	29	12	FullDelay	0.361651	361651	1	2
104.065	f5.2	31	10	FullDelay	0.259113	259113	1	2
104.537	f5.2	31	11	FullDelay	0.32567	325670	1	2
105.097	f6.4	32	13	FullDelay	0.765726	765726	1	2
105.489	f1.2	27	13	FullDelay	0.285889	285889	1	2
105.849	f4.4	30	11	FullDelay	0.805549	805549	1	3
106.289	f4.4	30	12	FullDelay	0.275712	275712	1	2
106.689	f5.2	31	13	FullDelay	0.288853	288853	1	2
107.489	f4.4	30	13	FullDelay	0.285347	285347	1	2
108.209	f3.2	29	16	FullDelay	0.723375	723375	1	3
108.409	f4.4	30	14	FullDelay	0.246686	246686	1	2
119.785	f4.5	36	8	FullDelay	0.590364	590364	1	3
121.897	f4.5	36	10	FullDelay	0.238069	238069	1	2
123.529	f4.5	36	12	FullDelay	0.243452	243452	1	2
124.369	f4.5	36	13	FullDelay	0.237859	237859	1	2
124.929	f6.5	37	12	FullDelay	0.240706	240706	1	2
125.729	f6.5	37	13	FullDelay	0.235063	235063	1	2
126.849	f4.5	36	15	FullDelay	0.235249	235249	1	2
131.249	f1.3	39	1	FullDelay	0.224806	224806	1	2
131.265	f8.5	38	12	FullDelay	0.237446	237446	1	2
131.577	f8.5	38	13	FullDelay	0.242933	242933	1	2
131.649	f2.6	40	1	FullDelay	0.219081	219081	1	2
132.817	f8.5	38	14	FullDelay	0.331299	331299	1	2
135.009	f8.5	38	16	FullDelay	0.727138	727138	1	2
135.617	f8.5	38	17	FullDelay	0.238189	238189	1	2
136.409	f4.6	42	5	FullDelay	0.241045	241045	1	2
136.489	f8.5	38	18	FullDelay	0.228793	228793	1	2
137.089	f3.3	41	5	FullDelay	0.359849	359849	1	2
137.289	f8.5	38	19	FullDelay	0.28224	282240	1	2
137.329	f2.6	40	6	FullDelay	0.243509	243509	1	2
137.529	f1.3	39	6	FullDelay	0.302371	302371	1	2
138.689	f8.5	38	20	FullDelay	0.465549	465549	1	2
138.729	f4.6	42	7	FullDelay	0.238684	238684	1	2
138.929	f3.3	41	7	FullDelay	0.311114	311114	1	2
139.617	f1.3	39	8	FullDelay	0.308512	308512	1	2
140.377	f4.6	42	8	FullDelay	0.951279	951279	1	3
140.609	f1.3	39	9	FullDelay	0.47185	471850	1	2
141.393	f5.3	43	8	FullDelay	0.790393	790393	1	2
142.169	f8.5	38	23	FullDelay	0.728372	728372	1	3
142.569	f8.5	38	24	FullDelay	0.348608	348608	1	2
142.809	f7.3	45	5	FullDelay	0.235971	235971	1	2
143.049	f8.6	46	4	FullDelay	0.221744	221744	1	2
143.129	f3.3	41	11	FullDelay	0.394404	394404	1	2
143.489	f3.3	41	12	FullDelay	0.31578	315780	1	2
143.849	f8.5	38	25	FullDelay	0.637941	637941	1	2
144.129	f1.3	39	12	FullDelay	0.386077	386077	1	2
144.377	f4.6	42	12	FullDelay	0.39721	397210	1	2
144.649	f2.6	40	12	FullDelay	0.448616	448616	1	2
146.369	f8.5	38	27	FullDelay	0.79797	797970	1	2
146.729	f1.3	39	14	FullDelay	0.333177	333177	1	2
147.369	f4.6	42	14	FullDelay	0.886494	886494	1	3
147.665	f7.3	45	9	FullDelay	0.736555	736555	1	3
149.177	f7.3	45	10	FullDelay	0.721487	721487	1	3
149.529	f8.6	46	9	FullDelay	0.69408	694080	1	3
150.329	f8.6	46	10	FullDelay	0.234919	234919	1	2
151.745	f8.6	46	11	FullDelay	0.247649	247649	1	2
152.737	f8.6	46	12	FullDelay	0.304663	304663	1	2
153.409	f7.3	45	14	FullDelay	0.410195	410195	1	3
153.817	f8.6	46	13	FullDelay	0.485395	485395	1	2
154.449	f8.6	46	14	FullDelay	0.377121	377121	1	3
155.049	f7.3	45	16	FullDelay	0.365129	365129	1	2
155.457	f7.3	45	17	FullDelay	0.241721	241721	1	2
156.297	f7.3	45	18	FullDelay	0.29315	293150	1	2
156.569	f2.7	47	5	FullDelay	0.632521	632521	1	3
157.489	f7.3	45	19	FullDelay	0.21775	217750	1	2
158.129	f8.6	46	17	FullDelay	0.240019	240019	1	2
158.329	f7.3	45	20	FullDelay	0.286946	286946	1	2
158.609	f8.6	46	18	FullDelay	0.285296	285296	1	2
159.385	f4.7	48	7	FullDelay	0.996479	996479	1	3
160.529	f7.3	45	22	FullDelay	0.252493	252493	1	2
160.817	f4.7	48	9	FullDelay	0.22287	222870	1	2
161.449	f4.7	48	10	FullDelay	0.214509	214509	1	2
161.729	f7.3	45	23	FullDelay	0.279931	279931	1	2
162.265	f2.7	47	10	FullDelay	0.45408	454080	1	3
163.689	f7.3	45	25	FullDelay	0.256786	256786	1	2
163.929	f2.7	47	11	FullDelay	0.638965	638965	1	2
164.329	f2.7	47	12	FullDelay	0.23759	237590	1	2
164.649	f8.6	46	23	FullDelay	0.409964	409964	1	2
165.609	f6.7	49	11	FullDelay	0.214203	214203	1	2
166.209	f8.6	46	24	FullDelay	0.715697	715697	1	3
166.569	f6.7	49	12	FullDelay	0.258404	258404	1	2
167.609	f6.7	49	13	FullDelay	0.235172	235172	1	2
169.225	f8.7	50	7	FullDelay	0.562759	562759	1	3
170.857	f8.7	50	8	FullDelay	0.502593	502593	1	3
171.985	f8.7	50	9	FullDelay	0.563643	563643	1	3
172.857	f8.7	50	10	FullDelay	0.603174	603174	1	3
173.849	f8.7	50	11	FullDelay	0.49942	499420	1	3
174.657	f4.8	54	1	FullDelay	0.543887	543887	1	3
175.009	f8.7	50	12	FullDelay	0.706344	706344	1	3
175.449	f4.8	54	2	FullDelay	0.237156	237156	1	2
175.769	f3.4	53	3	FullDelay	0.453342	453342	1	2
176.417	f8.7	50	13	FullDelay	0.938951	938951	1	2
176.449	f5.4	55	5	FullDelay	0.712916	712916	1	3
177.729	f4.8	54	4	FullDelay	0.406968	406968	1	2
177.729	f8.7	50	14	FullDelay	0.717804	717804	1	3
177.929	f3.4	53	5	FullDelay	0.32788	327880	1	2
178.049	f5.4	55	6	FullDelay	0.622779	622779	1	3
178.409	f6.8	56	5	FullDelay	0.247791	247791	1	2
178.569	f8.8	58	1	FullDelay	0.248996	248996	1	2
178.809	f8.7	50	15	FullDelay	0.650758	650758	1	3
179.289	f8.8	58	2	FullDelay	0.227292	227292	1	2
179.649	f1.4	51	5	FullDelay	0.578398	578398	1	3
179.857	f2.8	52	8	FullDelay	0.65496	654960	1	4
179.929	f8.7	50	16	FullDelay	0.620723	620723	1	3
179.969	f5.4	55	8	FullDelay	0.314708	314708	1	2
180.129	f6.8	56	7	FullDelay	0.512386	512386	1	2
180.329	f5.4	55	9	FullDelay	0.288169	288169	1	2
180.673	f7.4	57	1	FullDelay	0.621655	621655	1	3
180.689	f6.8	56	8	FullDelay	0.251791	251791	1	2
181.105	f8.8	58	3	FullDelay	0.756761	756761	1	3
181.729	f6.8	56	9	FullDelay	0.5806	580600	1	2
181.865	f1.4	51	7	FullDelay	0.375612	375612	1	2
182.433	f4.8	54	8	FullDelay	0.401009	401009	1	2
182.497	f1.4	51	8	FullDelay	0.46685	466850	1	2
183.249	f2.8	52	11	FullDelay	0.642067	642067	1	3
184.529	f8.7	50	20	FullDelay	0.629085	629085	1	3
184.849	f2.8	52	13	FullDelay	0.341328	341328	1	2
184.857	f4.8	54	10	FullDelay	0.453452	453452	1	2
185.489	f2.8	52	14	FullDelay	0.215256	215256	1	2
185.929	f3.4	53	12	FullDelay	0.622927	622927	1	2
186.289	f8.7	50	21	FullDelay	0.864866	864866	1	2
186.569	f8.7	50	22	FullDelay	0.26002	260020	1	2
187.089	f7.4	57	6	FullDelay	0.446562	446562	1	3
187.489	f8.7	50	23	FullDelay	0.213839	213839	1	2
187.769	f6.8	56	14	FullDelay	0.557335	557335	1	2
188.129	f1.4	51	13	FullDelay	0.287675	287675	1	2
189.049	f4.8	54	14	FullDelay	0.593893	593893	1	2
189.329	f6.8	56	15	FullDelay	0.886071	886071	1	2
189.769	f1.4	51	15	FullDelay	0.257741	257741	1	2
190.449	f8.7	50	25	FullDelay	0.890291	890291	1	3
190.689	f8.7	50	26	FullDelay	0.239549	239549	1	2
191.417	f7.4	57	9	FullDelay	0.738108	738108	1	3
191.529	f8.7	50	27	FullDelay	0.283615	283615	1	2
192.433	f7.4	57	10	FullDelay	0.378368	378368	1	2
192.569	f8.8	58	13	FullDelay	0.643552	643552	1	4
192.929	f8.7	50	28	FullDelay	0.815872	815872	1	3
193.617	f8.8	58	14	FullDelay	0.223131	223131	1	2
193.785	f7.4	57	11	FullDelay	0.336989	336989	1	2
194.585	f7.4	57	12	FullDelay	0.267751	267751	1	2
195.617	f7.4	57	13	FullDelay	0.554568	554568	1	2
196.025	f8.8	58	16	FullDelay	0.638328	638328	1	3
196.537	f7.4	57	14	FullDelay	0.393191	393191	1	2
197.369	f7.4	57	15	FullDelay	0.24144	241440	1	2
197.929	f8.8	58	18	FullDelay	0.250102	250102	1	2
198.449	f7.4	57	16	FullDelay	0.245666	245666	1	2
198.617	f8.8	58	19	FullDelay	0.492203	492203	1	3
