Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
10.4889	f1.0	3	1	FullDelay	0.245443	245443	1	2
11.3689	f1.0	3	2	FullDelay	0.245651	245651	1	2
11.6089	f2.0	4	1	FullDelay	0.235571	235571	1	2
13.6489	f2.0	4	3	FullDelay	0.238434	238434	1	2
13.9289	f1.0	3	4	FullDelay	0.252421	252421	1	2
14.4489	f6.0	8	1	FullDelay	0.219992	219992	1	2
14.6489	f5.0	7	3	FullDelay	0.237268	237268	1	2
15.4089	f2.0	4	5	FullDelay	0.24711	247110	1	2
15.5289	f6.0	8	2	FullDelay	0.236019	236019	1	2
15.7289	f5.0	7	4	FullDelay	0.312949	312949	1	2
15.7289	f1.0	3	6	FullDelay	0.239193	239193	1	2
16.3289	f1.0	3	7	FullDelay	0.232433	232433	1	2
16.6089	f2.0	4	6	FullDelay	0.244587	244587	1	2
17.3689	f1.0	3	8	FullDelay	0.227528	227528	1	2
17.5689	f2.0	4	7	FullDelay	0.300396	300396	1	2
18.2489	f1.0	3	9	FullDelay	0.220324	220324	1	2
18.4489	f2.0	4	8	FullDelay	0.31372	313720	1	2
19.3689	f1.0	3	10	FullDelay	0.251983	251983	1	2
19.5689	f2.0	4	9	FullDelay	0.244597	244597	1	2
20.4089	f7.0	9	2	FullDelay	0.226129	226129	1	2
20.6889	f8.0	10	1	FullDelay	0.24772	247720	1	2
22.5129	f5.0	7	10	FullDelay	0.25225	252250	1	2
22.8489	f1.0	3	13	FullDelay	0.367219	367219	1	2
23.0889	f2.0	4	12	FullDelay	0.697641	697641	1	2
23.3689	f1.0	3	14	FullDelay	0.239796	239796	1	2
23.6489	f2.0	4	13	FullDelay	0.236186	236186	1	2
23.7769	f5.0	7	11	FullDelay	0.403622	403622	1	2
23.8889	f7.0	9	5	FullDelay	0.240496	240496	1	2
24.0889	f8.0	10	4	FullDelay	0.354221	354221	1	2
24.2889	f7.0	9	6	FullDelay	0.263918	263918	1	2
24.3929	f3.0	5	9	FullDelay	0.431636	431636	1	3
24.4889	f8.0	10	5	FullDelay	0.24794	247940	1	2
24.6969	f5.0	7	12	FullDelay	0.307817	307817	1	2
25.2089	f6.0	8	10	FullDelay	0.383676	383676	1	3
25.4649	f5.0	7	13	FullDelay	0.273176	273176	1	2
26.4889	f2.0	4	15	FullDelay	0.882527	882527	1	3
26.5689	f8.0	10	7	FullDelay	0.236682	236682	1	2
26.7689	f7.0	9	8	FullDelay	0.238663	238663	1	2
26.7689	f6.0	8	12	FullDelay	0.348338	348338	1	2
27.5689	f5.0	7	15	FullDelay	0.261865	261865	1	2
28.0089	f3.0	5	12	FullDelay	0.572445	572445	1	3
28.4089	f5.0	7	16	FullDelay	0.349505	349505	1	2
28.6489	f3.0	5	13	FullDelay	0.221523	221523	1	2
32.6089	f7.0	9	13	FullDelay	0.233324	233324	1	2
37.2889	f7.0	9	17	FullDelay	0.237367	237367	1	2
38.2569	f8.0	10	17	FullDelay	0.579582	579582	1	4
38.4889	f7.0	9	18	FullDelay	0.269032	269032	1	2
47.0089	f6.1	13	11	FullDelay	0.622223	622223	1	4
