Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
10.5289	f1.0	3	1	FullDelay	0.2239	223900	1	2
13.4489	f2.0	4	2	FullDelay	0.241816	241816	1	2
13.6489	f1.0	3	4	FullDelay	0.307352	307352	1	2
14.2489	f6.0	8	1	FullDelay	0.243869	243869	1	2
14.5289	f1.0	3	5	FullDelay	0.237834	237834	1	2
14.7289	f5.0	7	3	FullDelay	0.216293	216293	1	2
14.7289	f2.0	4	3	FullDelay	0.249009	249009	1	2
15.4089	f5.0	7	4	FullDelay	0.221537	221537	1	2
15.4489	f1.0	3	6	FullDelay	0.249072	249072	1	2
15.6089	f6.0	8	2	FullDelay	0.218463	218463	1	2
15.6489	f2.0	4	4	FullDelay	0.252727	252727	1	2
16.4089	f5.0	7	5	FullDelay	0.239123	239123	1	2
16.4889	f1.0	3	7	FullDelay	0.216617	216617	1	2
16.6089	f6.0	8	3	FullDelay	0.320754	320754	1	2
16.6889	f2.0	4	5	FullDelay	0.289088	289088	1	2
18.4089	f2.0	4	7	FullDelay	0.256683	256683	1	2
18.5689	f6.0	8	5	FullDelay	0.216684	216684	1	2
18.6089	f1.0	3	9	FullDelay	0.302263	302263	1	2
18.7689	f5.0	7	7	FullDelay	0.207377	207377	1	2
19.2489	f1.0	3	10	FullDelay	0.231025	231025	1	2
19.4489	f6.0	8	6	FullDelay	0.229023	229023	1	2
19.6889	f2.0	4	8	FullDelay	0.249584	249584	1	2
19.7289	f5.0	7	8	FullDelay	0.242222	242222	1	2
20.4089	f1.0	3	11	FullDelay	0.239604	239604	1	2
20.4489	f8.0	10	1	FullDelay	0.214894	214894	1	2
20.6089	f2.0	4	9	FullDelay	0.322004	322004	1	2
20.6489	f7.0	9	2	FullDelay	0.282171	282171	1	2
21.2889	f2.0	4	10	FullDelay	0.230993	230993	1	2
21.4889	f1.0	3	12	FullDelay	0.244287	244287	1	2
21.5289	f7.0	9	3	FullDelay	0.230006	230006	1	2
21.7289	f8.0	10	2	FullDelay	0.240149	240149	1	2
23.6889	f1.0	3	14	FullDelay	0.232647	232647	1	2
23.8889	f2.0	4	12	FullDelay	0.28733	287330	1	2
24.3689	f2.0	4	13	FullDelay	0.245962	245962	1	2
26.1289	f2.0	4	14	FullDelay	0.758724	758724	1	3
26.5689	f5.0	7	14	FullDelay	0.579541	579541	1	2
