Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
10.5289	f1.0	3	1	FullDelay	0.2239	223900	1	2
14.2489	f6.0	8	1	FullDelay	0.243869	243869	1	2
14.6489	f2.0	4	3	FullDelay	0.241816	241816	1	2
14.7289	f5.0	7	3	FullDelay	0.216293	216293	1	2
14.8489	f1.0	3	5	FullDelay	0.307352	307352	1	2
15.4089	f5.0	7	4	FullDelay	0.221537	221537	1	2
15.4489	f1.0	3	6	FullDelay	0.249072	249072	1	2
15.6089	f6.0	8	2	FullDelay	0.218463	218463	1	2
15.6489	f2.0	4	4	FullDelay	0.252727	252727	1	2
16.4089	f5.0	7	5	FullDelay	0.239123	239123	1	2
16.4889	f1.0	3	7	FullDelay	0.216617	216617	1	2
16.6089	f6.0	8	3	FullDelay	0.320754	320754	1	2
16.6889	f2.0	4	5	FullDelay	0.289088	289088	1	2
18.4089	f2.0	4	7	FullDelay	0.256683	256683	1	2
18.5689	f6.0	8	5	FullDelay	0.216684	216684	1	2
18.6089	f1.0	3	9	FullDelay	0.302263	302263	1	2
18.7689	f5.0	7	7	FullDelay	0.207377	207377	1	2
19.2489	f1.0	3	10	FullDelay	0.231025	231025	1	2
19.4489	f6.0	8	6	FullDelay	0.229023	229023	1	2
19.6889	f2.0	4	8	FullDelay	0.249584	249584	1	2
19.7289	f5.0	7	8	FullDelay	0.242222	242222	1	2
20.4089	f1.0	3	11	FullDelay	0.239604	239604	1	2
20.4489	f8.0	10	1	FullDelay	0.214894	214894	1	2
20.6489	f7.0	9	2	FullDelay	0.282171	282171	1	2
21.4489	f5.0	7	10	FullDelay	0.259541	259541	1	2
21.4889	f1.0	3	12	FullDelay	0.244287	244287	1	2
21.5289	f7.0	9	3	FullDelay	0.230006	230006	1	2
21.6489	f6.0	8	8	FullDelay	0.30038	300380	1	2
21.7289	f8.0	10	2	FullDelay	0.240149	240149	1	2
21.7289	f2.0	4	10	FullDelay	0.242004	242004	1	2
22.2489	f5.0	7	11	FullDelay	0.224028	224028	1	2
22.4489	f6.0	8	9	FullDelay	0.296899	296899	1	2
23.2889	f5.0	7	12	FullDelay	0.222097	222097	1	2
23.5289	f6.0	8	10	FullDelay	0.238753	238753	1	2
23.6489	f8.0	10	4	FullDelay	0.229723	229723	1	2
23.8489	f7.0	9	5	FullDelay	0.257538	257538	1	2
24.2489	f3.0	5	9	FullDelay	0.66345	663450	1	3
24.7289	f5.0	7	13	FullDelay	0.297939	297939	1	2
25.1689	f3.0	5	10	FullDelay	0.731017	731017	1	3
26.0889	f1.0	3	16	FullDelay	0.232647	232647	1	2
26.7529	f8.0	10	7	FullDelay	0.257636	257636	1	2
28.0329	f7.0	9	9	FullDelay	0.355343	355343	1	2
28.1289	f5.0	7	16	FullDelay	0.438843	438843	1	3
29.4089	f6.0	8	15	FullDelay	0.252077	252077	1	2
29.9289	f5.0	7	17	FullDelay	0.477541	477541	1	2
30.4489	f6.0	8	16	FullDelay	0.417895	417895	1	2
34.2489	f7.0	9	15	FullDelay	0.228379	228379	1	2
34.5689	f8.0	10	14	FullDelay	0.378126	378126	1	2
35.6489	f8.0	10	15	FullDelay	0.27238	272380	1	2
36.4089	f8.0	10	16	FullDelay	0.244057	244057	1	2
36.6089	f7.0	9	17	FullDelay	0.276594	276594	1	2
37.6089	f7.0	9	18	FullDelay	0.363289	363289	1	2
37.8089	f8.0	10	17	FullDelay	0.328801	328801	1	2
38.2169	f8.1	14	3	FullDelay	0.437983	437983	1	2
38.4969	f7.0	9	19	FullDelay	0.251342	251342	1	2
39.8089	f8.0	10	19	FullDelay	0.522269	522269	1	2
45.6089	f7.0	9	25	FullDelay	0.365785	365785	1	2
46.3289	f7.0	9	26	FullDelay	0.213752	213752	1	2
46.5289	f8.0	10	25	FullDelay	0.246962	246962	1	2
47.3689	f7.0	9	27	FullDelay	0.238402	238402	1	2
47.5689	f8.0	10	26	FullDelay	0.23811	238110	1	2
48.6089	f7.0	9	28	FullDelay	0.209446	209446	1	2
49.4489	f7.0	9	29	FullDelay	0.285284	285284	1	2
49.6489	f8.0	10	28	FullDelay	0.272052	272052	1	2
50.4089	f8.0	10	29	FullDelay	0.255038	255038	1	2
50.6089	f7.0	9	30	FullDelay	0.288681	288681	1	2
54.6089	f2.2	16	2	FullDelay	0.251648	251648	1	2
54.8489	f1.1	15	2	FullDelay	0.324732	324732	1	2
60.1289	f3.1	17	7	FullDelay	0.815972	815972	1	3
62.5289	f6.2	20	9	FullDelay	0.635645	635645	1	3
63.8329	f2.2	16	10	FullDelay	0.463113	463113	1	2
64.0489	f3.1	17	11	FullDelay	0.262539	262539	1	2
64.7689	f4.2	18	10	FullDelay	0.662263	662263	1	2
64.9289	f6.2	20	11	FullDelay	0.638167	638167	1	2
65.1689	f1.1	15	11	FullDelay	0.726436	726436	1	3
65.2529	f2.2	16	11	FullDelay	0.833963	833963	1	2
65.9689	f6.2	20	12	FullDelay	0.832146	832146	1	3
66.3689	f2.2	16	12	FullDelay	0.233886	233886	1	2
67.3289	f2.2	16	13	FullDelay	0.252811	252811	1	2
91.4889	f2.4	28	1	FullDelay	0.229261	229261	1	2
91.7289	f1.2	27	1	FullDelay	0.241448	241448	1	2
92.4089	f3.2	29	1	FullDelay	0.378996	378996	1	2
93.4089	f1.2	27	3	FullDelay	0.278667	278667	1	2
93.6089	f2.4	28	3	FullDelay	0.309581	309581	1	2
94.2489	f1.2	27	4	FullDelay	0.232908	232908	1	2
94.6889	f2.4	28	4	FullDelay	0.222498	222498	1	2
95.2489	f2.4	28	5	FullDelay	0.245552	245552	1	2
95.5289	f1.2	27	5	FullDelay	0.239662	239662	1	2
96.0089	f4.4	30	3	FullDelay	0.234272	234272	1	2
96.4089	f4.4	30	4	FullDelay	0.270119	270119	1	2
96.5689	f1.2	27	6	FullDelay	0.221618	221618	1	2
96.8889	f2.4	28	6	FullDelay	0.391068	391068	1	2
96.9289	f3.2	29	5	FullDelay	0.22984	229840	1	2
98.5289	f4.4	30	6	FullDelay	0.234272	234272	1	2
99.9289	f2.4	28	9	FullDelay	0.385522	385522	1	2
100.689	f2.4	28	10	FullDelay	0.241852	241852	1	2
100.929	f1.2	27	10	FullDelay	0.22922	229220	1	2
102.465	f3.2	29	10	FullDelay	0.309343	309343	1	2
102.689	f2.4	28	12	FullDelay	0.221046	221046	1	2
