Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
10.6489	f1.0	3	1	FullDelay	0.218807	218807	1	2
11.4089	f1.0	3	2	FullDelay	0.237261	237261	1	2
11.6889	f2.0	4	1	FullDelay	0.215626	215626	1	2
14.3689	f6.0	8	1	FullDelay	0.224287	224287	1	2
14.6889	f5.0	7	3	FullDelay	0.23881	238810	1	2
15.3289	f5.0	7	4	FullDelay	0.248253	248253	1	2
15.5289	f6.0	8	2	FullDelay	0.277443	277443	1	2
19.6489	f1.0	3	9	FullDelay	0.216051	216051	1	2
19.8489	f2.0	4	8	FullDelay	0.357499	357499	1	2
20.2889	f1.0	3	10	FullDelay	0.216018	216018	1	2
20.6089	f8.0	10	1	FullDelay	0.234692	234692	1	2
20.6489	f2.0	4	9	FullDelay	0.222557	222557	1	2
20.9289	f7.0	9	2	FullDelay	0.248552	248552	1	2
21.2489	f8.0	10	2	FullDelay	0.213286	213286	1	2
21.5689	f7.0	9	3	FullDelay	0.236667	236667	1	2
22.6889	f1.0	3	12	FullDelay	0.21845	218450	1	2
22.9289	f2.0	4	11	FullDelay	0.242975	242975	1	2
23.8969	f5.0	7	11	FullDelay	0.932322	932322	1	3
24.3529	f3.0	5	9	FullDelay	0.265004	265004	1	2
24.8489	f6.0	8	10	FullDelay	0.248331	248331	1	2
25.0889	f2.0	4	13	FullDelay	0.517155	517155	1	2
25.4889	f2.0	4	14	FullDelay	0.228027	228027	1	2
26.0489	f6.0	8	11	FullDelay	0.99654	996540	1	2
26.3689	f5.0	7	13	FullDelay	0.812638	812638	1	2
26.5689	f3.0	5	11	FullDelay	0.374248	374248	1	2
27.3289	f3.0	5	12	FullDelay	0.237104	237104	1	2
28.4089	f8.0	10	8	FullDelay	0.25268	252680	1	2
28.6089	f3.0	5	13	FullDelay	0.276823	276823	1	2
29.1689	f5.0	7	15	FullDelay	0.585693	585693	1	2
32.4889	f8.0	10	12	FullDelay	0.414152	414152	1	2
33.5289	f7.0	9	13	FullDelay	0.23543	235430	1	2
33.7289	f8.0	10	13	FullDelay	0.274926	274926	1	2
35.9289	f8.0	10	15	FullDelay	0.243698	243698	1	2
38.9369	f8.1	14	4	FullDelay	0.250929	250929	1	2
40.2489	f7.0	9	19	FullDelay	0.224417	224417	1	2
41.1289	f8.0	10	20	FullDelay	0.217689	217689	1	2
42.8889	f8.0	10	22	FullDelay	0.316825	316825	1	2
43.8489	f8.0	10	23	FullDelay	0.434361	434361	1	2
44.6169	f6.1	13	9	FullDelay	0.831725	831725	1	2
46.2889	f7.0	9	24	FullDelay	0.426109	426109	1	2
48.0489	f8.0	10	27	FullDelay	0.251046	251046	1	2
48.2889	f8.0	10	28	FullDelay	0.239651	239651	1	2
49.4489	f8.0	10	29	FullDelay	0.221572	221572	1	2
61.1689	f6.2	20	8	FullDelay	0.811008	811008	1	3
61.9849	f3.1	17	9	FullDelay	0.3333	333300	1	2
62.5849	f3.1	17	10	FullDelay	0.246841	246841	1	2
63.2089	f6.2	20	10	FullDelay	0.510491	510491	1	2
63.4489	f3.1	17	11	FullDelay	0.241239	241239	1	2
64.0089	f6.2	20	11	FullDelay	0.709569	709569	1	2
64.2889	f3.1	17	12	FullDelay	0.227172	227172	1	2
65.3289	f2.2	16	11	FullDelay	0.313948	313948	1	2
65.7689	f3.1	17	13	FullDelay	0.288192	288192	1	2
66.1289	f6.2	20	13	FullDelay	0.450659	450659	1	2
67.0889	f4.2	18	12	FullDelay	0.581228	581228	1	2
67.5689	f1.1	15	12	FullDelay	0.234315	234315	1	2
67.8489	f2.2	16	13	FullDelay	0.584665	584665	1	4
92.5689	f3.2	29	1	FullDelay	0.240217	240217	1	2
94.8089	f2.4	28	3	FullDelay	0.50096	500960	1	2
95.0089	f1.2	27	4	FullDelay	0.327812	327812	1	2
95.5689	f1.2	27	5	FullDelay	0.229401	229401	1	2
95.7689	f3.2	29	4	FullDelay	0.233912	233912	1	2
95.7689	f2.4	28	4	FullDelay	0.301701	301701	1	2
96.4089	f3.2	29	5	FullDelay	0.238491	238491	1	2
96.9689	f4.4	30	3	FullDelay	0.496168	496168	1	2
97.4889	f1.2	27	7	FullDelay	0.225861	225861	1	2
97.6889	f2.4	28	6	FullDelay	0.27485	274850	1	2
98.3289	f2.4	28	7	FullDelay	0.230026	230026	1	2
98.8889	f1.2	27	8	FullDelay	0.45547	455470	1	2
99.6569	f1.2	27	9	FullDelay	0.493002	493002	1	3
100.769	f2.4	28	9	FullDelay	0.28721	287210	1	2
101.409	f2.4	28	10	FullDelay	0.251269	251269	1	2
101.609	f1.2	27	11	FullDelay	0.250777	250777	1	2
102.353	f3.2	29	10	FullDelay	0.25485	254850	1	2
103.249	f3.2	29	11	FullDelay	0.213313	213313	1	2
104.417	f5.2	31	10	FullDelay	0.397646	397646	1	2
