Node,Time,Name,Action,X,Y
1,2,0,Received,10,10
1,2,0,Broadcast,10,10
2,2.04893,0,Received,18.8967,8.54957
4,2.04893,0,Received,100.734,2.58953
6,2.04893,0,Received,3.43952,16.5248
8,2.04893,0,Received,23.5712,1.59145
9,2.04893,0,Received,21.1375,7.16432
14,2.04893,0,Received,25.9348,11.2475
17,2.04893,0,Received,81.1391,15.5087
20,2.04893,0,Received,94.1186,9.99965
27,2.04893,0,Received,42.2078,13.1982
28,2.04893,0,Received,51.1224,3.07553
31,2.04893,0,Received,30.2341,11.7593
34,2.04893,0,Received,58.0167,7.88655
35,2.04893,0,Received,71.3528,10.5595
39,2.04893,0,Received,90.0383,12.4544
3,2.05693,0,Received,142.066,3.25044
13,2.05693,0,Received,131.115,18.3927
18,2.05693,0,Received,130.295,0.964929
22,2.05693,0,Received,145.863,10.8198
26,2.05693,0,Received,134.187,2.31316
37,2.05693,0,Received,129.97,4.99367
19,2.06493,0,Received,174.276,18.0779
11,2.07293,0,Received,177.666,17.8762
15,2.07293,0,Received,176.706,4.61449
36,2.07293,0,Received,183.12,2.8292
20,2.09284,0,Broadcast,94.1625,9.99965
37,2.09843,0,Broadcast,130.178,4.99367
22,2.09949,0,Broadcast,145.906,10.8198
26,2.11454,0,Broadcast,134.244,2.31316
1,2.12893,0,Duplicate,10.6446,10
2,2.12893,0,Duplicate,18.9767,8.54957
2,2.12893,0,Suppressed,18.9767,8.54957
3,2.12893,0,Duplicate,142.066,3.25044
3,2.12893,0,Duplicate,142.066,3.25044
3,2.12893,0,Suppressed,142.066,3.25044
3,2.12893,0,Duplicate,142.066,3.25044
3,2.12893,0,Duplicate,142.066,3.25044
4,2.12893,0,Duplicate,100.814,2.58953
4,2.12893,0,Duplicate,100.814,2.58953
4,2.12893,0,Suppressed,100.814,2.58953
4,2.12893,0,Duplicate,100.814,2.58953
4,2.12893,0,Duplicate,100.814,2.58953
6,2.12893,0,Duplicate,3.51952,16.5248
6,2.12893,0,Suppressed,3.51952,16.5248
8,2.12893,0,Duplicate,23.6512,1.59145
8,2.12893,0,Suppressed,23.6512,1.59145
8,2.12893,0,Duplicate,23.6512,1.59145
9,2.12893,0,Duplicate,21.1375,7.16432
9,2.12893,0,Suppressed,21.1375,7.16432
9,2.12893,0,Duplicate,21.1375,7.16432
11,2.12893,0,Duplicate,177.666,17.8762
11,2.12893,0,Duplicate,177.666,17.8762
11,2.12893,0,Duplicate,177.666,17.8762
11,2.12893,0,Duplicate,177.666,17.8762
12,2.12893,0,Received,202.324,16.5113
12,2.12893,0,Duplicate,202.324,16.5113
12,2.12893,0,Duplicate,202.324,16.5113
12,2.12893,0,Duplicate,202.324,16.5113
13,2.12893,0,Duplicate,131.475,18.3927
13,2.12893,0,Duplicate,131.475,18.3927
13,2.12893,0,Suppressed,131.475,18.3927
13,2.12893,0,Duplicate,131.475,18.3927
13,2.12893,0,Duplicate,131.475,18.3927
14,2.12893,0,Duplicate,26.0148,11.2475
14,2.12893,0,Suppressed,26.0148,11.2475
14,2.12893,0,Duplicate,26.0148,11.2475
15,2.12893,0,Duplicate,176.706,4.61449
15,2.12893,0,Duplicate,176.706,4.61449
15,2.12893,0,Duplicate,176.706,4.61449
15,2.12893,0,Duplicate,176.706,4.61449
17,2.12893,0,Duplicate,81.1391,15.5087
17,2.12893,0,Suppressed,81.1391,15.5087
17,2.12893,0,Duplicate,81.1391,15.5087
17,2.12893,0,Duplicate,81.1391,15.5087
17,2.12893,0,Duplicate,81.1391,15.5087
18,2.12893,0,Duplicate,130.367,0.964929
18,2.12893,0,Duplicate,130.367,0.964929
18,2.12893,0,Suppressed,130.367,0.964929
