interestTime,dataTime,timeTogetData
2.0,2.3369,0.3369
3.0,3.3369,0.3369
4.0,4.3369,0.3369
5.0,5.3369,0.3369
6.0,6.3369,0.3369
7.0,7.3369,0.3369
8.0,8.3369,0.3369
9.0,9.3369,0.3369
