Node,Time,Name,Action,X,Y
1,2,0,Received,10,10
1,2,0,Broadcast,10,10
6,2.04893,0,Received,5.62475,16.5248
8,2.04893,0,Received,57.3918,1.59145
9,2.04893,0,Received,54.3535,7.16432
14,2.04893,0,Received,63.4697,11.2475
2,2.04893,0,Received,45.3718,8.54957
28,2.04893,0,Received,110.583,13.1982
29,2.04893,0,Received,126.189,3.07553
33,2.04893,0,Received,51.4014,11.7593
36,2.05693,0,Received,145.974,7.88655
29,2.10098,0,Broadcast,126.189,3.07553
8,2.12893,0,Duplicate,57.4718,1.59145
8,2.12893,0,Suppressed,57.4718,1.59145
9,2.12893,0,Duplicate,54.3535,7.16432
9,2.12893,0,Suppressed,54.3535,7.16432
14,2.12893,0,Duplicate,63.5497,11.2475
14,2.12893,0,Suppressed,63.5497,11.2475
17,2.12893,0,Received,208.643,15.5087
1,2.12893,0,Duplicate,10.6446,10
2,2.12893,0,Duplicate,45.4518,8.54957
2,2.12893,0,Suppressed,45.4518,8.54957
20,2.12893,0,Received,238.88,9.99965
25,2.12893,0,Received,238.756,16.9199
28,2.12893,0,Duplicate,110.663,13.1982
28,2.12893,0,Suppressed,110.663,13.1982
33,2.12893,0,Duplicate,51.4014,11.7593
33,2.12893,0,Suppressed,51.4014,11.7593
36,2.12893,0,Duplicate,146.046,7.88655
37,2.12893,0,Received,194.123,10.5595
6,2.13381,0,Broadcast,5.70963,16.5248
4,2.13693,0,Received,255.899,2.58953
6,2.13693,0,Duplicate,5.71275,16.5248
6,2.13693,0,Suppressed,5.71275,16.5248
8,2.16893,0,Duplicate,57.5118,1.59145
9,2.16893,0,Duplicate,54.3535,7.16432
14,2.16893,0,Duplicate,63.5897,11.2475
1,2.16893,0,Duplicate,10.8446,10
2,2.16893,0,Duplicate,45.4918,8.54957
28,2.16893,0,Duplicate,110.703,13.1982
33,2.16893,0,Duplicate,51.4014,11.7593
37,2.17043,0,Broadcast,194.331,10.5595
20,2.17284,0,Broadcast,238.923,9.99965
29,2.17693,0,Duplicate,126.189,3.07553
36,2.17693,0,Duplicate,146.094,7.88655
4,2.20893,0,Duplicate,255.971,2.58953
4,2.20893,0,Duplicate,255.971,2.58953
13,2.20893,0,Received,321.751,18.3927
17,2.20893,0,Duplicate,208.643,15.5087
17,2.20893,0,Suppressed,208.643,15.5087
17,2.20893,0,Duplicate,208.643,15.5087
18,2.20893,0,Received,331.963,0.964929
25,2.20893,0,Duplicate,239.156,16.9199
25,2.20893,0,Duplicate,239.156,16.9199
27,2.20893,0,Received,339.763,2.31316
28,2.20893,0,Duplicate,110.743,13.1982
29,2.20893,0,Duplicate,126.189,3.07553
29,2.20893,0,Suppressed,126.189,3.07553
29,2.20893,0,Duplicate,126.189,3.07553
36,2.20893,0,Duplicate,146.126,7.88655
36,2.20893,0,Suppressed,146.126,7.88655
36,2.20893,0,Duplicate,146.126,7.88655
39,2.20893,0,Received,307.763,4.99367
39,2.20893,0,Duplicate,307.763,4.99367
3,2.21693,0,Received,365.313,3.25044
8,2.21693,0,Duplicate,57.5598,1.59145
9,2.21693,0,Duplicate,54.3535,7.16432
13,2.21693,0,Duplicate,321.791,18.3927
14,2.21693,0,Duplicate,63.6377,11.2475
18,2.21693,0,Duplicate,331.971,0.964929
2,2.21693,0,Duplicate,45.5398,8.54957
22,2.21693,0,Received,372.005,10.8198
27,2.21693,0,Duplicate,339.763,2.31316
28,2.21693,0,Duplicate,110.751,13.1982
33,2.21693,0,Duplicate,51.4014,11.7593
3,2.23293,0,Duplicate,365.313,3.25044
14,2.23293,0,Duplicate,63.6537,11.2475
22,2.25949,0,Broadcast,372.048,10.8198
