distance,timeTogetData
distance,timeTogetData
distance,timeTogetData
distance,timeTogetData
50,0.32889999999999997
100,0.32889999999999997
150,0.32889999999999997
200,0.32889999999999997
250,0.32889999999999997
300,0.32889999999999997
350,0.32889999999999997
400,0.32889999999999997
450,0.32889999999999997
500,0.32889999999999997
550,0.32889999999999997
600,0.32889999999999997
650,0.32889999999999997
700,0.32889999999999997
750,0.32889999999999997
800,0.32889999999999997
850,0.32889999999999997
900,0.32889999999999997
950,0.32889999999999997
