distance,timeTogetData
distance,timeTogetData
50,0.32889999999999997
100,0.32889999999999997
150,0.32889999999999997
200,0.32889999999999997
250,0.32889999999999997
300,0.32889999999999997
350,0.32889999999999997
400,0.32889999999999997
450,0.32889999999999997
distance,timeTogetData
50,0.32889999999999997
100,0.32889999999999997
150,0.32889999999999997
200,0.32889999999999997
250,0.32889999999999997
300,0.32889999999999997
350,0.32889999999999997
400,0.32889999999999997
450,0.32889999999999997
