interestTime,dataTime,timeTogetData
2.0,2.3449,0.3449
3.0,3.3369,0.3369
4.0,4.3369,0.3369
5.0,5.3369,0.3369
6.0,6.3449,0.3449
7.0,7.3369,0.3369
8.0,8.3449,0.3449000000000009
9.0,9.3369,0.3369
