Node,Time,Name,Action,X,Y
1,2,0,Received,20,0
1,2,0,Broadcast,20,0
2,2.04893,0,Received,100,0
3,2.04893,0,Received,380.489,4
4,2.04893,0,Received,10.2446,16
5,2.04893,0,Received,340.489,4
6,2.04893,0,Received,260,12
7,2.04893,0,Received,200.489,0
8,2.04893,0,Received,80,0
9,2.04893,0,Received,180.489,4
10,2.04893,0,Received,370.245,0
8,2.26005,0,Broadcast,80,0
10,2.26155,0,Broadcast,371.308,0
7,2.27783,0,Broadcast,202.778,0
1,2.28893,0,Duplicate,22.8893,0
1,2.28893,0,Duplicate,22.8893,0
2,2.28893,0,Duplicate,100,0
2,2.28893,0,Duplicate,100,0
2,2.28893,0,Suppressed,100,0
3,2.28893,0,Duplicate,382.889,4
3,2.28893,0,Duplicate,382.889,4
4,2.28893,0,Duplicate,11.4446,16
4,2.28893,0,Suppressed,11.4446,16
5,2.28893,0,Duplicate,342.889,4
5,2.28893,0,Duplicate,342.889,4
5,2.28893,0,Suppressed,342.889,4
6,2.28893,0,Duplicate,260,12
6,2.28893,0,Duplicate,260,12
6,2.28893,0,Suppressed,260,12
7,2.28893,0,Duplicate,202.889,0
7,2.28893,0,Duplicate,202.889,0
7,2.28893,0,Suppressed,202.889,0
9,2.28893,0,Duplicate,182.889,4
9,2.28893,0,Duplicate,182.889,4
9,2.28893,0,Suppressed,182.889,4
4,2.29693,0,Duplicate,11.4846,16
1,2.32893,0,Duplicate,23.2893,0
2,2.32893,0,Duplicate,100,0
3,2.32893,0,Duplicate,383.289,4
4,2.32893,0,Duplicate,11.6446,16
5,2.32893,0,Duplicate,343.289,4
6,2.32893,0,Duplicate,260,12
8,2.32893,0,Duplicate,80,0
8,2.32893,0,Suppressed,80,0
9,2.32893,0,Duplicate,183.289,4
10,2.32893,0,Duplicate,371.645,0
3,2.33608,0,Broadcast,383.361,4
1,2.36893,0,Duplicate,23.6893,0
2,2.36893,0,Duplicate,100,0
5,2.36893,0,Duplicate,343.689,4
6,2.36893,0,Duplicate,260,12
7,2.36893,0,Duplicate,203.689,0
8,2.36893,0,Duplicate,80,0
9,2.36893,0,Duplicate,183.689,4
10,2.36893,0,Duplicate,371.845,0
10,2.36893,0,Suppressed,371.845,0
4,2.37693,0,Duplicate,11.8846,16
1,3,1,Received,30,0
1,3,1,Broadcast,30,0
2,3.04893,1,Received,100,0
3,3.04893,1,Received,390.489,4
4,3.04893,1,Received,15.2446,16
5,3.04893,1,Received,350.489,4
6,3.04893,1,Received,260,12
7,3.04893,1,Received,210.489,0
8,3.04893,1,Received,80,0
9,3.04893,1,Received,190.489,4
10,3.04893,1,Received,375.245,0
4,3.26628,1,Broadcast,16.3314,16
8,3.27681,1,Broadcast,80,0
6,3.2856,1,Broadcast,260,12
10,3.2857,1,Broadcast,376.428,0
1,3.28893,1,Duplicate,32.8893,0
2,3.28893,1,Duplicate,100,0
5,3.28893,1,Duplicate,352.889,4
6,3.28893,1,Duplicate,260,12
7,3.28893,1,Duplicate,212.889,0
8,3.28893,1,Duplicate,80,0
9,3.28893,1,Duplicate,192.889,4
10,3.28893,1,Duplicate,376.445,0
2,3.28974,1,Broadcast,100,0
3,3.29583,1,Broadcast,392.958,4
3,3.29693,1,Duplicate,392.969,4
7,3.29981,1,Broadcast,212.998,0
5,3.31978,1,Broadcast,353.198,4
1,3.32893,1,Duplicate,33.2893,0
1,3.32893,1,Duplicate,33.2893,0
1,3.32893,1,Duplicate,33.2893,0
1,3.32893,1,Duplicate,33.2893,0
4,3.32893,1,Duplicate,16.6446,16
