distance,timeTogetData,hopCount
100,0.71144,1
150,0.85264,2
200,0.76444,2
250,0.79164,2
300,0.89644,2
350,1.1833,4
400,1.1961,3
450,1.4729,4
500,1.4569,4
550,1.5241,4
600,1.8809,5
650,1.9529,5
700,1.9577,5
750,2.0633,5
800,2.2265,6
850,2.2633,6
900,2.2489,6
950,2.2489,6
1000,2.5737,8
