Node,Time,Name,Action,X,Y
1,2,0,Received,20,0
1,2,0,Broadcast,20,0
2,2.04893,0,Received,100,0
3,2.04893,0,Received,380.489,4
4,2.04893,0,Received,10.2446,16
5,2.04893,0,Received,340.489,4
6,2.04893,0,Received,260,12
7,2.04893,0,Received,200.489,0
8,2.04893,0,Received,80,0
9,2.04893,0,Received,180.489,4
10,2.04893,0,Received,370.245,0
11,2.04893,0,Received,300.489,8
12,2.04893,0,Received,320,8
13,2.04893,0,Received,60.4893,8
15,2.04893,0,Received,360.489,12
16,2.04893,0,Received,150.245,4
17,2.04893,0,Received,40.4893,12
18,2.04893,0,Received,0,8
19,2.04893,0,Received,20.4893,8
20,2.04893,0,Received,160,4
21,2.04893,0,Received,360.489,8
22,2.04893,0,Received,290.245,8
24,2.04893,0,Received,240,8
25,2.04893,0,Received,140.489,8
26,2.04893,0,Received,380,0
27,2.04893,0,Received,300.489,12
28,2.04893,0,Received,230.245,8
29,2.04893,0,Received,260.489,0
30,2.04893,0,Received,0,16
31,2.04893,0,Received,340.489,0
32,2.04893,0,Received,60,4
33,2.04893,0,Received,360.489,12
34,2.04893,0,Received,140.245,8
37,2.04893,0,Received,140.489,0
38,2.04893,0,Received,220,4
14,2.05693,0,Received,400,8
23,2.05693,0,Received,440.569,12
35,2.05693,0,Received,400.569,8
36,2.05693,0,Received,400,12
39,2.05693,0,Received,480.569,8
40,2.05693,0,Received,490.285,8
17,2.07108,0,Broadcast,40.7108,12
10,2.07536,0,Broadcast,370.377,0
19,2.07804,0,Broadcast,20.7804,8
9,2.08195,0,Broadcast,180.82,4
6,2.08508,0,Broadcast,260,12
35,2.08588,0,Broadcast,400.859,8
29,2.0868,0,Broadcast,260.868,0
27,2.08781,0,Broadcast,300.878,12
1,2.08893,0,Duplicate,20.8893,0
1,2.08893,0,Duplicate,20.8893,0
2,2.08893,0,Duplicate,100,0
2,2.08893,0,Suppressed,100,0
2,2.08893,0,Duplicate,100,0
3,2.08893,0,Duplicate,380.889,4
3,2.08893,0,Duplicate,380.889,4
4,2.08893,0,Duplicate,10.4446,16
5,2.08893,0,Duplicate,340.889,4
5,2.08893,0,Suppressed,340.889,4
5,2.08893,0,Duplicate,340.889,4
6,2.08893,0,Duplicate,260,12
6,2.08893,0,Suppressed,260,12
6,2.08893,0,Duplicate,260,12
7,2.08893,0,Duplicate,200.889,0
7,2.08893,0,Suppressed,200.889,0
7,2.08893,0,Duplicate,200.889,0
8,2.08893,0,Duplicate,80,0
8,2.08893,0,Suppressed,80,0
8,2.08893,0,Duplicate,80,0
9,2.08893,0,Duplicate,180.889,4
9,2.08893,0,Suppressed,180.889,4
9,2.08893,0,Duplicate,180.889,4
11,2.08893,0,Duplicate,300.889,8
11,2.08893,0,Suppressed,300.889,8
11,2.08893,0,Duplicate,300.889,8
12,2.08893,0,Duplicate,320,8
12,2.08893,0,Suppressed,320,8
12,2.08893,0,Duplicate,320,8
13,2.08893,0,Duplicate,60.8893,8
13,2.08893,0,Suppressed,60.8893,8
13,2.08893,0,Duplicate,60.8893,8
14,2.08893,0,Duplicate,400,8
14,2.08893,0,Duplicate,400,8
15,2.08893,0,Duplicate,360.889,12
15,2.08893,0,Suppressed,360.889,12
15,2.08893,0,Duplicate,360.889,12
16,2.08893,0,Duplicate,150.445,4
16,2.08893,0,Suppressed,150.445,4
16,2.08893,0,Duplicate,150.445,4
18,2.08893,0,Duplicate,0,8
19,2.08893,0,Duplicate,20.8893,8
19,2.08893,0,Suppressed,20.8893,8
