distance,timeTogetData,hopCount
100,0.5098,2
150,0.611825,2
200,0.737825,2
250,1.09558,2
300,1.03182,3
350,1.6745,3
400,1.6841,3
450,1.6601,5
500,1.6473,6
550,1.7177,4
600,1.8825,5
650,2.2905,5
700,2.3897,5
750,2.4473,6
800,2.4473,6
850,2.4473,6
900,2.5321,8
950,2.6121,8
1000,2.6281,8
